"Sprenger的鬱金香","Sprenger的鬱金香",'''"Sprenger''''s tulip"'''
"Vinegret","Vinegret","Vinegret"
"達布達布","達布達布","Dabu-dabu"
"開心果冰淇淋","開心果冰淇淋","Pistachio ice cream"
"悟空","悟空","Woku"
"丸","丸","Pastila"
"Burasa","Burasa","Burasa"
"夏日雪花","夏日雪花","Summer snowflake"
"航空郵件","航空郵件","Airmail","航空郵件","航空信","航空信"
"曼島tt","曼島tt","Isle of man tt"
"遊樂園","遊樂園","Amusement park"
"過山車","過山車","Roller coaster"
"女巫帽","女巫帽","Witch hat"
"三明治餅乾","三明治餅乾","Sandwich Cookies"
"普通夜鷹","普通夜鷹","Common Nighthawk"
"阿斯巴甜","阿斯巴甜","Aspartame"
"空調","空調","Air conditioning","空調","冷氣"
"史密斯奶奶","史密斯奶奶","Granny smith"
"美洲虎周圍","美洲虎周圍","Atari jaguar"
"每年x","每年x","Atari lynx"
"偶氮男性","偶氮男性","Kazoo"
"藏紅花番紅花","藏紅花番紅花","Saffron crocus"
"鉛筆裙","鉛筆裙","Pencil skirt"
"Zenvo ST","Zenvo ST","Zenvo ST"
"航展","航展","Air show"
"勞動節","勞動節","May day","勞動節"
"反光相機","反光相機","Reflex camera"
"水壺","水壺","Water bottle"
"無酵餅","無酵餅","Unleavened bread"
"遊行的想法","遊行的想法","Ides of march"
"簡·簡","簡·簡","Jean short"
"包子","包子","Bun (Food)"
"可卡犬","可卡犬","Cocker spaniel"
"巨型淡水黃貂魚","巨型淡水黃貂魚","Giant freshwater stingray"
"鳳冠企鵝","鳳冠企鵝","Rockhopper penguin"
"甘菊","甘菊","Camomile"
"比格","比格","Beaglier"
"膜電話","膜電話","Membranophone"
"唱機","唱機","Chordophone"
"管樂器","管樂器","Wind instrument"
"手裡劍","手裡劍","Shuriken"
"葫蘆","葫蘆","Gourd","葫蘆","瓠","瓠子","葫盧"
"纖維","纖維","Fiber","纖維","構造"
"烤寬麵條","烤寬麵條","Lasagne"
"烏龜","烏龜","Tortoise","龜","烏龜"
"定巴尼","定巴尼","Timpani"
